drug	protein	y
CHEMBL1090360	P53778	12.1202
CHEMBL1090360	P68400	11.3
CHEMBL1090360	P78368	11.2
CHEMBL1090360	Q00535	12.1128
CHEMBL1090360	Q05397	12.4
CHEMBL1090360	Q08881	12.1753
CHEMBL1090360	Q13131	11.9
CHEMBL1090360	Q13153	12.4948
CHEMBL1090360	Q13188	12.404
CHEMBL1090360	Q13464	12.1128
CHEMBL1090360	Q13554	11.2
CHEMBL1090360	Q13555	11.3
CHEMBL1090360	Q13557	11.3
CHEMBL1090360	Q13627	12.1202
CHEMBL1090360	Q13976	11.8
CHEMBL1090360	Q14012	11.2
CHEMBL1090360	Q14680	11.9
CHEMBL1090360	Q15303	14.1133
CHEMBL1090360	Q16288	12
CHEMBL1090360	Q16513	11.2
CHEMBL1090360	Q16620	12.1252
CHEMBL1090360	Q16644	12.1128
CHEMBL1090360	Q7KZI7	11.2
CHEMBL1090360	Q96GD4	12.9751
CHEMBL1090360	Q96KB5	11.1
CHEMBL1090360	Q96SB4	11.5
CHEMBL1090360	Q9H2G2	13.2
CHEMBL1090360	Q9H2X6	11.6
CHEMBL1090360	Q9H4B4	12.1161
CHEMBL1090360	Q9HAZ1	11.1
CHEMBL1090360	Q9HCP0	11.3
CHEMBL1090360	Q9NWZ3	11.1
CHEMBL1090360	Q9NYL2	12.8
CHEMBL1090360	Q9P1W9	12.1753
CHEMBL1090360	Q9UM73	12
CHEMBL1090360	Q9Y6M4	11.3
CHEMBL1688215	O00141	11.1
CHEMBL1688215	O14757	11.1
CHEMBL1688215	O14965	12.5045
CHEMBL1688215	O15111	13.1
CHEMBL1688215	O15530	12.5159
CHEMBL1688215	P06213	11.1
CHEMBL1688215	P08069	11.1
CHEMBL1688215	P23443	11.2979
CHEMBL1688215	P24941	12.6528
CHEMBL1688215	P31749	11.1
CHEMBL1688215	P35968	12.1757
CHEMBL1688215	P43405	11.4979
CHEMBL1688215	P45983	11.1
CHEMBL1688215	P52333	12.1044
CHEMBL1688215	Q13464	11.9
CHEMBL1688215	Q96GD4	11.5792
CHEMBL1688215	Q99683	11.3449
CHEMBL1765781	O00141	12.1
CHEMBL1765781	O14757	12.1
CHEMBL1765781	O14965	12.1
CHEMBL1765781	O15111	12.1
CHEMBL1765781	O43293	12.1
CHEMBL1765781	O60674	12.5318
CHEMBL1765781	O75116	12.1
CHEMBL1765781	O75582	12.1
CHEMBL1765781	P00519	12.1
CHEMBL1765781	P00533	12.1
CHEMBL1765781	P04049	11.799
CHEMBL1765781	P05771	12.1
CHEMBL1765781	P06213	12.1
CHEMBL1765781	P06239	12.4098
CHEMBL1765781	P06241	12.1
CHEMBL1765781	P06493	12.1
CHEMBL1765781	P07332	12.1
CHEMBL1765781	P07948	12.1
CHEMBL1765781	P07949	12.1
CHEMBL1765781	P08069	12.1
CHEMBL1765781	P08631	12.1
CHEMBL1765781	P08922	12.1
CHEMBL1765781	P10721	12.799
CHEMBL1765781	P11309	12.1
CHEMBL1765781	P12931	13.0208
CHEMBL1765781	P16234	12.1
CHEMBL1765781	P22455	12.1
CHEMBL1765781	P23443	12.1
CHEMBL1765781	P27361	11.799
CHEMBL1765781	P28482	11.799
CHEMBL1765781	P29323	12.1
CHEMBL1765781	P31749	12.1
CHEMBL1765781	P35968	12.4665
CHEMBL1765781	P36888	13.799
CHEMBL1765781	P41240	12.1
CHEMBL1765781	P41279	12.1
CHEMBL1765781	P43403	11.799
CHEMBL1765781	P45983	12.1
CHEMBL1765781	P49841	12.1
CHEMBL1765781	P51813	12.1
CHEMBL1765781	P52333	12.5559
CHEMBL1765781	P52564	12.1
CHEMBL1765781	Q02750	12.1
CHEMBL1765781	Q02763	12.1
CHEMBL1765781	Q04759	11.799
CHEMBL1765781	Q04912	12.1
CHEMBL1765781	Q05397	12.1
CHEMBL1765781	Q06187	12.1
CHEMBL1765781	Q08881	14.2549
CHEMBL1765781	Q13188	12.1
CHEMBL1765781	Q13627	12.1
CHEMBL1765781	Q15303	12.1
CHEMBL1765781	Q15759	12.1
CHEMBL1765781	Q16513	12.1
CHEMBL1765781	Q16539	12.1
CHEMBL1765781	Q16566	12.1
CHEMBL1765781	Q8IU85	12.1
CHEMBL1765781	Q9H4B4	12.1
CHEMBL1765781	Q9NWZ3	12.1
CHEMBL1765781	Q9UHD2	12.1
CHEMBL1929238	O00141	10.8212
CHEMBL1929238	O14757	10.6229
CHEMBL1929238	O14920	10.6229
CHEMBL1929238	O14965	10.6229
CHEMBL1929238	O15264	10.6229
CHEMBL1929238	O43293	10.5949
CHEMBL1929238	O60674	10.6229
CHEMBL1929238	O75116	10.6229
CHEMBL1929238	O75582	10.6229
CHEMBL1929238	O96013	10.6229
CHEMBL1929238	O96017	10.6229
CHEMBL1929238	P00519	10.6229
CHEMBL1929238	P00533	10.6229
CHEMBL1929238	P04629	10.6376
CHEMBL1929238	P05771	10.6089
CHEMBL1929238	P06213	10.6229
CHEMBL1929238	P06239	10.6229
CHEMBL1929238	P06241	10.6229
CHEMBL1929238	P06493	10.6229
CHEMBL1929238	P07332	10.6229
CHEMBL1929238	P07333	10.6229
CHEMBL1929238	P07948	10.4665
CHEMBL1929238	P07949	11.5318
CHEMBL1929238	P08069	10.6229
CHEMBL1929238	P08581	10.6229
CHEMBL1929238	P08631	10.6229
CHEMBL1929238	P08922	10.6229
CHEMBL1929238	P11309	10.6229
CHEMBL1929238	P11362	10.6229
CHEMBL1929238	P12931	10.6229
CHEMBL1929238	P15735	10.6229
CHEMBL1929238	P16234	10.6229
CHEMBL1929238	P17252	10.6229
CHEMBL1929238	P17948	10.6229
CHEMBL1929238	P21802	10.6229
CHEMBL1929238	P22455	10.6229
CHEMBL1929238	P22607	10.6229
CHEMBL1929238	P23443	10.799
CHEMBL1929238	P24723	10.6229
CHEMBL1929238	P24941	10.6229
CHEMBL1929238	P27361	10.6229
CHEMBL1929238	P28482	10.6229
CHEMBL1929238	P29317	10.8959
CHEMBL1929238	P29323	11.2427
CHEMBL1929238	P30530	10.6229
CHEMBL1929238	P31749	10.6229
CHEMBL1929238	P31751	10.6229
CHEMBL1929238	P34947	10.6229
CHEMBL1929238	P35968	10.6229
CHEMBL1929238	P36888	10.6229
CHEMBL1929238	P41240	10.6229
CHEMBL1929238	P42684	10.6229
CHEMBL1929238	P43403	10.6229
CHEMBL1929238	P43405	10.6229
CHEMBL1929238	P45983	10.6229
CHEMBL1929238	P45984	11.1088
CHEMBL1929238	P48729	10.6229
CHEMBL1929238	P49137	10.6229
CHEMBL1929238	P49841	10.6229
CHEMBL1929238	P50750	10.6229
CHEMBL1929238	P51617	10.6229
CHEMBL1929238	P51813	10.6229
CHEMBL1929238	P52333	10.6229
CHEMBL1929238	P53350	10.6229
CHEMBL1929238	P53778	10.6229
CHEMBL1929238	P53779	10.6229
CHEMBL1929238	P54760	11.1605
CHEMBL1929238	P68400	10.6229
CHEMBL1929238	P80192	10.6229
CHEMBL1929238	Q00535	10.6229
CHEMBL1929238	Q02763	10.401
CHEMBL1929238	Q04759	10.6229
CHEMBL1929238	Q04912	10.6229
CHEMBL1929238	Q05397	10.6229
CHEMBL1929238	Q06187	10.6229
CHEMBL1929238	Q13188	10.6229
CHEMBL1929238	Q13464	10.6229
CHEMBL1929238	Q13554	11.6686
CHEMBL1929238	Q13557	11.0208
CHEMBL1929238	Q13882	10.6229
CHEMBL1929238	Q13976	10.6229
CHEMBL1929238	Q14289	10.6229
CHEMBL1929238	Q15303	10.6229
CHEMBL1929238	Q15759	13.401
CHEMBL1929238	Q16539	13.7576
CHEMBL1929238	Q16620	11.1605
CHEMBL1929238	Q16644	10.6229
CHEMBL1929238	Q7KZI7	10.6229
CHEMBL1929238	Q96RG2	10.6229
CHEMBL1929238	Q99683	10.6229
CHEMBL1929238	Q9H4B4	10.6229
CHEMBL1929238	Q9NWZ3	10.6229
CHEMBL1929238	Q9P1W9	10.6229
CHEMBL1929238	Q9UHD2	10.6229
CHEMBL1929238	Q9UM73	10.6229
CHEMBL1933552	O00141	10.6229
CHEMBL1933552	O14757	10.6229
CHEMBL1933552	O14920	10.6229
CHEMBL1933552	O14965	10.6229
CHEMBL1933552	O96013	10.6229
CHEMBL1933552	O96017	10.6229
CHEMBL1933552	P00519	10.6229
CHEMBL1933552	P00533	10.6229
CHEMBL1933552	P04629	10.6229
CHEMBL1933552	P06213	10.6229
CHEMBL1933552	P06239	10.6229
CHEMBL1933552	P08581	10.6229
CHEMBL1933552	P11362	10.744
CHEMBL1933552	P12931	10.6229
CHEMBL1933552	P24941	10.6229
CHEMBL1933552	P28482	10.6229
CHEMBL1933552	P30530	10.7234
CHEMBL1933552	P31749	10.6229
CHEMBL1933552	P35968	10.7596
CHEMBL1933552	P48730	11.862
CHEMBL1933552	P49137	10.6229
CHEMBL1933552	P49841	10.6229
CHEMBL1933552	Q06187	10.6229
CHEMBL1933552	Q12866	12.1132
CHEMBL1933552	Q9P1W9	10.6229
CHEMBL202930	O00141	10.401
CHEMBL202930	O14757	14.2828
CHEMBL202930	O96017	10.7629
CHEMBL202930	P00533	10.401
CHEMBL202930	P06493	10.401
CHEMBL202930	P12931	10.401
CHEMBL202930	P19784	10.401
CHEMBL202930	P49137	10.401
CHEMBL202930	P68400	10.401
CHEMBL202930	Q02763	10.401
CHEMBL204420	O00141	11.1
CHEMBL204420	O14757	11.1
CHEMBL204420	O15264	11.1
CHEMBL204420	O75116	11.1
CHEMBL204420	P00533	13.4099
CHEMBL204420	P06239	11.1
CHEMBL204420	P12931	11.1
CHEMBL204420	P17612	11.1
CHEMBL204420	P28482	11.1
CHEMBL204420	P35968	11.1
CHEMBL204420	P45983	11.1
CHEMBL204420	P45984	11.1
CHEMBL204420	P49841	11.1
CHEMBL204420	P53778	11.1
CHEMBL204420	P53779	11.1
CHEMBL204420	P54646	11.1
CHEMBL204420	Q13131	11.1
CHEMBL204420	Q15759	11.1
CHEMBL204420	Q16539	11.1
CHEMBL206783	O00141	11.1
CHEMBL206783	O14757	11.1
CHEMBL206783	O15264	11.1
CHEMBL206783	O75116	11.1
CHEMBL206783	P00533	13.7109
CHEMBL206783	P06239	11.1
CHEMBL206783	P12931	11.1
CHEMBL206783	P17612	11.1
CHEMBL206783	P28482	11.1
CHEMBL206783	P35968	11.1
CHEMBL206783	P45983	11.1
CHEMBL206783	P45984	11.1
CHEMBL206783	P49841	11.1
CHEMBL206783	P53778	11.1
CHEMBL206783	P53779	11.1
CHEMBL206783	P54646	11.1
CHEMBL206783	Q13131	11.1
CHEMBL206783	Q15759	11.1
CHEMBL206783	Q16539	11.1
CHEMBL382638	O00141	11.1
CHEMBL382638	O14757	11.1
CHEMBL382638	O15264	11.1
CHEMBL382638	O75116	11.1
CHEMBL382638	P00533	13.9099
CHEMBL382638	P06239	11.1
CHEMBL382638	P12931	11.1
CHEMBL382638	P17612	11.1
CHEMBL382638	P28482	11.1
CHEMBL382638	P35968	11.1
CHEMBL382638	P45983	11.1
CHEMBL382638	P45984	11.1
CHEMBL382638	P49841	11.1
CHEMBL382638	P53778	11.1
CHEMBL382638	P53779	11.1
CHEMBL382638	P54646	11.1
CHEMBL382638	Q13131	11.1
CHEMBL382638	Q15759	11.1
CHEMBL382638	Q16539	11.1
CHEMBL207037	O00141	11.1
CHEMBL207037	O14757	11.1
CHEMBL207037	O15264	11.1
CHEMBL207037	O75116	11.1
CHEMBL207037	P00533	13.012
CHEMBL207037	P06239	11.1
CHEMBL207037	P12931	11.1
CHEMBL207037	P17612	11.1
CHEMBL207037	P28482	11.1
CHEMBL207037	P35968	11.1
CHEMBL207037	P45983	11.1
CHEMBL207037	P45984	11.1
CHEMBL207037	P49841	11.1
CHEMBL207037	P53778	11.1
CHEMBL207037	P53779	11.1
CHEMBL207037	P54646	11.1
CHEMBL207037	Q13131	11.1
CHEMBL207037	Q15759	11.1
CHEMBL207037	Q16539	11.1
CHEMBL207130	O00141	11.1
CHEMBL207130	O14757	11.1
CHEMBL207130	O15264	11.1
CHEMBL207130	O75116	11.1
CHEMBL207130	P00533	13.8218
CHEMBL207130	P06239	11.1
CHEMBL207130	P12931	11.1
CHEMBL207130	P17612	11.1
CHEMBL207130	P28482	11.1
CHEMBL207130	P35968	11.1
CHEMBL207130	P45983	11.1
CHEMBL207130	P45984	11.1
CHEMBL207130	P49841	11.1
CHEMBL207130	P53778	11.1
CHEMBL207130	P53779	11.1
CHEMBL207130	P54646	11.1
CHEMBL207130	Q13131	11.1
CHEMBL207130	Q15759	11.1
CHEMBL207130	Q16539	11.1
CHEMBL207235	O00141	11.1
CHEMBL207235	O14757	11.1
CHEMBL207235	O15264	11.1
CHEMBL207235	O75116	11.1
CHEMBL207235	P00533	13.901
CHEMBL207235	P06239	11.1
CHEMBL207235	P12931	11.1
CHEMBL207235	P17612	11.1
CHEMBL207235	P28482	11.1
CHEMBL207235	P35968	11.1
CHEMBL207235	P45983	11.1
CHEMBL207235	P45984	11.1
CHEMBL207235	P49841	11.1
CHEMBL207235	P53778	11.1
CHEMBL207235	P53779	11.1
CHEMBL207235	P54646	11.1
CHEMBL207235	Q13131	11.1
CHEMBL207235	Q15759	11.1
CHEMBL207235	Q16539	11.1
CHEMBL207246	O00141	11.1
CHEMBL207246	O14757	11.1
CHEMBL207246	O15264	11.1
CHEMBL207246	O75116	11.1
CHEMBL207246	P00533	13.2003
CHEMBL207246	P06239	11.1
CHEMBL207246	P12931	11.1
CHEMBL207246	P17612	11.1
CHEMBL207246	P28482	11.1
CHEMBL207246	P35968	11.1
CHEMBL207246	P45983	11.1
CHEMBL207246	P45984	11.1
CHEMBL207246	P49841	11.1
CHEMBL207246	P53778	11.1
CHEMBL207246	P53779	11.1
CHEMBL207246	P54646	11.1
CHEMBL207246	Q13131	11.1
CHEMBL207246	Q15759	11.1
CHEMBL207246	Q16539	11.1
CHEMBL207445	O00141	11.1
CHEMBL207445	O14757	11.1
CHEMBL207445	O15264	11.1
CHEMBL207445	O75116	11.1
CHEMBL207445	P00533	13.7505
CHEMBL207445	P06239	11.1
CHEMBL207445	P12931	11.1
CHEMBL207445	P17612	11.1
CHEMBL207445	P28482	11.1
CHEMBL207445	P35968	11.1
CHEMBL207445	P45983	11.1
CHEMBL207445	P45984	11.1
CHEMBL207445	P49841	11.1
CHEMBL207445	P53778	11.1
CHEMBL207445	P53779	11.1
CHEMBL207445	P54646	11.1
CHEMBL207445	Q13131	11.1
CHEMBL207445	Q15759	11.1
CHEMBL207445	Q16539	11.1
CHEMBL208292	O00141	11.1
CHEMBL208292	O14757	11.1
CHEMBL208292	O15264	11.1
CHEMBL208292	O75116	11.1
CHEMBL208292	P00533	13.4913
CHEMBL208292	P06239	11.1
CHEMBL208292	P12931	11.1
CHEMBL208292	P17612	11.1
CHEMBL208292	P28482	11.1
CHEMBL208292	P35968	11.1
CHEMBL208292	P45983	11.1
CHEMBL208292	P45984	11.1
CHEMBL208292	P49841	11.1
CHEMBL208292	P53778	11.1
CHEMBL208292	P53779	11.1
CHEMBL208292	P54646	11.1
CHEMBL208292	Q13131	11.1
CHEMBL208292	Q15759	11.1
CHEMBL208292	Q16539	11.1
CHEMBL207674	O00141	11.1
CHEMBL207674	O14757	11.1
CHEMBL207674	O15264	11.1
CHEMBL207674	O75116	11.1
CHEMBL207674	P00533	13.2734
CHEMBL207674	P06239	11.1
CHEMBL207674	P12931	11.1
CHEMBL207674	P17612	11.1
CHEMBL207674	P28482	11.1
CHEMBL207674	P35968	11.1
CHEMBL207674	P45983	11.1
CHEMBL207674	P45984	11.1
CHEMBL207674	P49841	11.1
CHEMBL207674	P53778	11.1
CHEMBL207674	P53779	11.1
CHEMBL207674	P54646	11.1
CHEMBL207674	Q13131	11.1
CHEMBL207674	Q15759	11.1
CHEMBL207674	Q16539	11.1
CHEMBL208118	O00141	11.1
CHEMBL208118	O14757	11.1
CHEMBL208118	O15264	11.1
CHEMBL208118	O75116	11.1
CHEMBL208118	P00533	13.9495
CHEMBL208118	P06239	11.1
CHEMBL208118	P12931	11.1
CHEMBL208118	P17612	11.1
CHEMBL208118	P28482	11.1
CHEMBL208118	P35968	11.1
CHEMBL208118	P45983	11.1
CHEMBL208118	P45984	11.1
CHEMBL208118	P49841	11.1
CHEMBL208118	P53778	11.1
CHEMBL208118	P53779	11.1
CHEMBL208118	P54646	11.1
CHEMBL208118	Q13131	11.1
CHEMBL208118	Q15759	11.1
CHEMBL208118	Q16539	11.1
CHEMBL207718	O00141	11.1
CHEMBL207718	O14757	11.1
CHEMBL207718	O15264	11.1
CHEMBL207718	O75116	11.1
CHEMBL207718	P00533	13.9495
CHEMBL207718	P06239	11.1
CHEMBL207718	P12931	11.1
CHEMBL207718	P17612	11.1
CHEMBL207718	P28482	11.1
CHEMBL207718	P35968	11.1
CHEMBL207718	P45983	11.1
CHEMBL207718	P45984	11.1
CHEMBL207718	P49841	11.1
CHEMBL207718	P53778	11.1
CHEMBL207718	P53779	11.1
CHEMBL207718	P54646	11.1
CHEMBL207718	Q13131	11.1
CHEMBL207718	Q15759	11.1
CHEMBL207718	Q16539	11.1
CHEMBL207815	O00141	11.1
CHEMBL207815	O14757	11.1
CHEMBL207815	O15264	11.1
CHEMBL207815	O75116	11.1
CHEMBL207815	P00533	13.8843
CHEMBL207815	P06239	11.1
CHEMBL207815	P12931	11.1
CHEMBL207815	P17612	11.1
CHEMBL207815	P28482	11.1
CHEMBL207815	P35968	11.1
CHEMBL207815	P45983	11.1
CHEMBL207815	P45984	11.1
CHEMBL207815	P49841	11.1
CHEMBL207815	P53778	11.1
CHEMBL207815	P53779	11.1
CHEMBL207815	P54646	11.1
CHEMBL207815	Q13131	11.1
CHEMBL207815	Q15759	11.1
CHEMBL207815	Q16539	11.1
CHEMBL208048	O00141	11.1
CHEMBL208048	O14757	11.1
CHEMBL208048	O15264	11.1
CHEMBL208048	O75116	11.1
CHEMBL208048	P00533	14.2505
CHEMBL208048	P06239	11.1
CHEMBL208048	P12931	11.1
CHEMBL208048	P17612	11.1
CHEMBL208048	P28482	11.1
CHEMBL208048	P35968	11.1
CHEMBL208048	P45983	11.1
CHEMBL208048	P45984	11.1
CHEMBL208048	P49841	11.1
CHEMBL208048	P53778	11.1
CHEMBL208048	P53779	11.1
CHEMBL208048	P54646	11.1
CHEMBL208048	Q13131	11.1
CHEMBL208048	Q15759	11.1
CHEMBL208048	Q16539	11.1
CHEMBL208118	P00533	13.8843
CHEMBL208286	O00141	11.1
CHEMBL208286	O14757	11.1
CHEMBL208286	O15264	11.1
CHEMBL208286	O75116	11.1
CHEMBL208286	P00533	13.7109
CHEMBL208286	P06239	11.1
CHEMBL208286	P12931	11.1
CHEMBL208286	P17612	11.1
CHEMBL208286	P28482	11.1
CHEMBL208286	P35968	11.1
CHEMBL208286	P45983	11.1
CHEMBL208286	P45984	11.1
CHEMBL208286	P49841	11.1
CHEMBL208286	P53778	11.1
CHEMBL208286	P53779	11.1
CHEMBL208286	P54646	11.1
CHEMBL208286	Q13131	11.1
CHEMBL208286	Q15759	11.1
CHEMBL208286	Q16539	11.1
CHEMBL208292	P00533	13.901
CHEMBL208637	O00141	11.1269
CHEMBL208637	O00444	11.5
CHEMBL208637	O14757	11.1778
CHEMBL208637	O14920	11.5974
CHEMBL208637	O14965	11.3806
CHEMBL208637	O15075	11.1
CHEMBL208637	O15111	11.712
CHEMBL208637	O15264	11.2306
CHEMBL208637	O15530	11.5
CHEMBL208637	O43293	11.9539
CHEMBL208637	O43781	11.3
CHEMBL208637	O60674	11.9239
CHEMBL208637	O75116	11.2125
CHEMBL208637	O75582	11.8
CHEMBL208637	O95819	11.4
CHEMBL208637	O96013	11.3798
CHEMBL208637	O96017	11.2611
CHEMBL208637	P00519	12.2487
CHEMBL208637	P00533	11.8447
CHEMBL208637	P04626	11.9539
CHEMBL208637	P04629	11.701
CHEMBL208637	P06213	11.392
CHEMBL208637	P06239	11.6843
CHEMBL208637	P06241	12.1915
CHEMBL208637	P06493	11.1753
CHEMBL208637	P07332	11.8
CHEMBL208637	P07333	11.701
CHEMBL208637	P07948	11.8696
CHEMBL208637	P08581	11.6188
CHEMBL208637	P08922	11.8
CHEMBL208637	P10721	12.0208
CHEMBL208637	P11309	11.1181
CHEMBL208637	P11362	11.414
CHEMBL208637	P12931	11.6106
CHEMBL208637	P15735	11.4
CHEMBL208637	P17612	11.2125
CHEMBL208637	P17948	12.4565
CHEMBL208637	P19784	11.3366
CHEMBL208637	P21802	11.4279
CHEMBL208637	P22455	11.4279
CHEMBL208637	P22607	11.8
CHEMBL208637	P23443	11.287
CHEMBL208637	P24723	11.1809
CHEMBL208637	P24941	11.1828
CHEMBL208637	P27361	11.1362
CHEMBL208637	P27448	11.287
CHEMBL208637	P28482	11.1778
CHEMBL208637	P29317	11.6
CHEMBL208637	P29597	11.8106
CHEMBL208637	P30530	11.8
CHEMBL208637	P31749	11.1931
CHEMBL208637	P31751	11.1879
CHEMBL208637	P35968	11.1931
CHEMBL208637	P36888	11.701
CHEMBL208637	P45983	12.5414
CHEMBL208637	P45984	12.3111
CHEMBL208637	P48729	11.3
CHEMBL208637	P48730	11.204
CHEMBL208637	P49137	11.1879
CHEMBL208637	P49760	11.2
CHEMBL208637	P49841	11.2744
CHEMBL208637	P51617	11.2
CHEMBL208637	P51812	11.2154
CHEMBL208637	P51955	11.6181
CHEMBL208637	P52333	11.8696
CHEMBL208637	P53350	11.1753
CHEMBL208637	P53667	11.1089
CHEMBL208637	P53778	11.2625
CHEMBL208637	P53779	12.4203
CHEMBL208637	P54646	11.1088
CHEMBL208637	P68400	11.3183
CHEMBL208637	P78368	11.2
CHEMBL208637	Q00535	11.1158
CHEMBL208637	Q07912	11.1223
CHEMBL208637	Q08881	11.5202
CHEMBL208637	Q13131	11.2044
CHEMBL208637	Q13153	11.1066
CHEMBL208637	Q13188	11.1778
CHEMBL208637	Q13464	11.1205
CHEMBL208637	Q13554	11.2
CHEMBL208637	Q13555	11.3
CHEMBL208637	Q13557	11.3
CHEMBL208637	Q13627	11.2806
CHEMBL208637	Q13882	11.7
CHEMBL208637	Q14012	11.3
CHEMBL208637	Q15303	11.5
CHEMBL208637	Q16513	11.2
CHEMBL208637	Q16566	11.1655
CHEMBL208637	Q16620	11.4234
CHEMBL208637	Q16644	11.1
CHEMBL208637	Q7KZI7	11.2125
CHEMBL208637	Q96GD4	11.287
CHEMBL208637	Q96KB5	11.1
CHEMBL208637	Q96SB4	11.2
CHEMBL208637	Q9H2G2	11.1
CHEMBL208637	Q9H2X6	11.6
CHEMBL208637	Q9H4B4	11.1985
CHEMBL208637	Q9HAZ1	11.1
CHEMBL208637	Q9HBH9	11.1
CHEMBL208637	Q9HCP0	11.3
CHEMBL208637	Q9NWZ3	11.1022
CHEMBL208637	Q9NYL2	11.2
CHEMBL208637	Q9P1W9	11.9539
CHEMBL208637	Q9Y6M4	11.3
CHEMBL210032	O00141	11.1269
CHEMBL210032	O14757	11.1778
CHEMBL210032	O14920	11.5949
CHEMBL210032	O14965	11.2612
CHEMBL210032	O15075	11.1
CHEMBL210032	O15111	12.1132
CHEMBL210032	O15264	11.2306
CHEMBL210032	O43293	11.9539
CHEMBL210032	O43781	11.3
CHEMBL210032	O60674	11.9239
CHEMBL210032	O75116	11.2125
CHEMBL210032	O95819	11.5
CHEMBL210032	O96013	11.3596
CHEMBL210032	O96017	11.2611
CHEMBL210032	P00519	12.2487
CHEMBL210032	P00533	11.8447
CHEMBL210032	P04626	11.9539
CHEMBL210032	P04629	11.7021
CHEMBL210032	P06213	11.384
CHEMBL210032	P06239	11.6686
CHEMBL210032	P06241	12.1915
CHEMBL210032	P06493	11.1753
CHEMBL210032	P07333	11.7021
CHEMBL210032	P07948	11.8696
CHEMBL210032	P08581	11.6376
CHEMBL210032	P10721	12.0208
CHEMBL210032	P11309	11.1181
CHEMBL210032	P11362	11.4279
CHEMBL210032	P12931	11.8212
CHEMBL210032	P17612	11.2125
CHEMBL210032	P17948	12.4565
CHEMBL210032	P19784	11.3366
CHEMBL210032	P21802	11.4279
CHEMBL210032	P22455	11.4279
CHEMBL210032	P22607	11.6246
CHEMBL210032	P23443	11.287
CHEMBL210032	P24723	11.1809
CHEMBL210032	P24941	11.993
CHEMBL210032	P27361	11.1362
CHEMBL210032	P27448	11.287
CHEMBL210032	P28482	11.1778
CHEMBL210032	P29597	11.8212
CHEMBL210032	P31749	11.1931
CHEMBL210032	P31751	11.1879
CHEMBL210032	P35968	11.1931
CHEMBL210032	P36888	11.7021
